scheduler_type, chunk_size, problem_size, time_1[s], time_2[s], time_3[s]
dynamic, 16384, 1000000, 0.002982, 0.002720, 0.002567
dynamic, 16384, 100000, 0.000367, 0.000382, 0.000392
dynamic, 32768, 253200000, 0.636317, 0.636930, 0.635575
dynamic, 32768, 100000000, 0.249942, 0.252090, 0.251164
dynamic, 32768, 10000000, 0.025551, 0.025692, 0.025594
dynamic, 32768, 1000000, 0.002602, 0.002578, 0.002586
dynamic, 32768, 100000, 0.000361, 0.000361, 0.000359
dynamic, 65536, 253200000, 0.633397, 0.632018, 0.634164
dynamic, 65536, 100000000, 0.250638, 0.251875, 0.250286
dynamic, 65536, 10000000, 0.025687, 0.025535, 0.025791
dynamic, 65536, 1000000, 0.003130, 0.002685, 0.002737
dynamic, 65536, 100000, 0.000701, 0.000687, 0.000715
dynamic, 131072, 253200000, 0.632804, 0.635619, 0.634875
dynamic, 131072, 100000000, 0.250168, 0.249988, 0.250667
dynamic, 131072, 10000000, 0.025612, 0.025671, 0.025690
dynamic, 131072, 1000000, 0.002858, 0.002827, 0.002733
dynamic, 131072, 100000, 0.001091, 0.001118, 0.001066
guided, 1, 253200000, 0.585169, 0.584833, 0.584920
guided, 1, 100000000, 0.231279, 0.231384, 0.231296
guided, 1, 10000000, 0.023507, 0.023482, 0.023495
guided, 1, 1000000, 0.002720, 0.002543, 0.002572
guided, 1, 100000, 0.000283, 0.000280, 0.000278
guided, 2, 253200000, 0.583637, 0.585940, 0.584123
guided, 2, 100000000, 0.231109, 0.231307, 0.231174
guided, 2, 10000000, 0.023651, 0.023539, 0.023677
guided, 2, 1000000, 0.002829, 0.002534, 0.002542
guided, 2, 100000, 0.000292, 0.000281, 0.000282
guided, 4, 253200000, 0.584817, 0.584998, 0.584753
guided, 4, 100000000, 0.231464, 0.231246, 0.231277
guided, 4, 10000000, 0.023815, 0.023699, 0.023838
guided, 4, 1000000, 0.002766, 0.002656, 0.002726
guided, 4, 100000, 0.000286, 0.000282, 0.000280
guided, 8, 253200000, 0.585186, 0.584554, 0.586193
guided, 8, 100000000, 0.231383, 0.233365, 0.231423
guided, 8, 10000000, 0.023862, 0.023617, 0.023514
guided, 8, 1000000, 0.002756, 0.002740, 0.002589
guided, 8, 100000, 0.000279, 0.000282, 0.000280
guided, 16, 253200000, 0.585400, 0.584265, 0.585238
guided, 16, 100000000, 0.231410, 0.231473, 0.231505
guided, 16, 10000000, 0.023819, 0.023734, 0.023585
guided, 16, 1000000, 0.002772, 0.002690, 0.002579
guided, 16, 100000, 0.000282, 0.000278, 0.000283
guided, 32, 253200000, 0.584142, 0.586137, 0.585429
guided, 32, 100000000, 0.230916, 0.231517, 0.231514
guided, 32, 10000000, 0.023865, 0.023758, 0.023590
guided, 32, 1000000, 0.002597, 0.002704, 0.002529
guided, 32, 100000, 0.000293, 0.000290, 0.000281
guided, 64, 253200000, 0.584830, 0.587715, 0.585381
guided, 64, 100000000, 0.231234, 0.231512, 0.231326
guided, 64, 10000000, 0.023835, 0.023599, 0.023825
guided, 64, 1000000, 0.002692, 0.002598, 0.002735
guided, 64, 100000, 0.000279, 0.000280, 0.000278
guided, 128, 253200000, 0.584156, 0.584947, 0.584379
guided, 128, 100000000, 0.231398, 0.231350, 0.231337
guided, 128, 10000000, 0.023817, 0.023667, 0.023774
guided, 128, 1000000, 0.002685, 0.002575, 0.002555
guided, 128, 100000, 0.000279, 0.000285, 0.000300
guided, 256, 253200000, 0.584966, 0.585887, 0.584776
guided, 256, 100000000, 0.231690, 0.231356, 0.231380
guided, 256, 10000000, 0.023740, 0.023654, 0.023570
guided, 256, 1000000, 0.002732, 0.002672, 0.002675
guided, 256, 100000, 0.000320, 0.000285, 0.000280
guided, 512, 253200000, 0.583903, 0.584766, 0.583973
guided, 512, 100000000, 0.231360, 0.231117, 0.231446
guided, 512, 10000000, 0.023846, 0.023601, 0.023268
guided, 512, 1000000, 0.002779, 0.002585, 0.002598
guided, 512, 100000, 0.000278, 0.000310, 0.000278
guided, 1024, 253200000, 0.583737, 0.584283, 0.584368
guided, 1024, 100000000, 0.231332, 0.231102, 0.231498
guided, 1024, 10000000, 0.023822, 0.023470, 0.023679
guided, 1024, 1000000, 0.002736, 0.002679, 0.002740
guided, 1024, 100000, 0.000281, 0.000304, 0.000321
guided, 2048, 253200000, 0.583717, 0.586480, 0.590081
guided, 2048, 100000000, 0.231767, 0.231210, 0.231489
guided, 2048, 10000000, 0.023732, 0.023402, 0.023636
guided, 2048, 1000000, 0.002790, 0.002788, 0.002739
guided, 2048, 100000, 0.000287, 0.000296, 0.000296
guided, 4096, 253200000, 0.584294, 0.584873, 0.588536
guided, 4096, 100000000, 0.231426, 0.231699, 0.231635
guided, 4096, 10000000, 0.023613, 0.023607, 0.023484
guided, 4096, 1000000, 0.002685, 0.002771, 0.002627
guided, 4096, 100000, 0.000302, 0.000308, 0.000304
guided, 8192, 253200000, 0.584237, 0.589407, 0.584459
guided, 8192, 100000000, 0.231208, 0.231638, 0.231154
guided, 8192, 10000000, 0.023698, 0.023776, 0.023719
guided, 8192, 1000000, 0.002701, 0.002580, 0.002524
guided, 8192, 100000, 0.000314, 0.000297, 0.000334
guided, 16384, 253200000, 0.586490, 0.584602, 0.585097
guided, 16384, 100000000, 0.231340, 0.231630, 0.231203
guided, 16384, 10000000, 0.023800, 0.023789, 0.023758
guided, 16384, 1000000, 0.002743, 0.002681, 0.002797
guided, 16384, 100000, 0.000369, 0.000366, 0.000358
guided, 32768, 253200000, 0.586407, 0.585459, 0.584959
guided, 32768, 100000000, 0.231205, 0.231647, 0.231412
guided, 32768, 10000000, 0.023705, 0.023901, 0.023621
guided, 32768, 1000000, 0.002900, 0.002927, 0.002844
guided, 32768, 100000, 0.000373, 0.000374, 0.000380
guided, 65536, 253200000, 0.585702, 0.586027, 0.585440
guided, 65536, 100000000, 0.231583, 0.231610, 0.231681
guided, 65536, 10000000, 0.023852, 0.023918, 0.023777
guided, 65536, 1000000, 0.002897, 0.002730, 0.002717
guided, 65536, 100000, 0.000701, 0.000702, 0.000691
guided, 131072, 253200000, 0.585640, 0.584704, 0.587173
guided, 131072, 100000000, 0.231870, 0.232115, 0.231758
guided, 131072, 10000000, 0.023809, 0.023877, 0.023926
guided, 131072, 1000000, 0.003051, 0.002738, 0.002969
guided, 131072, 100000, 0.001052, 0.001060, 0.001059
